ID_PLAT,DESCRIPCION
-10,(FR) Zalando
-9,(IT) Zalando
-13,(GB) Zalando
428,El Salvador
432,Nicaragua
436,Costa Rica
442,Panamá
448,Cuba
449,S.Cristobal/Ni.
452,Haití
453,Bahamas
456,Rep. Dominicana
458,Guadalupe
459,Antigua Barbuda
460,Dominica
462,Martinica
464,Jamaica
465,Santa Lucía
467,S.Vicente y Gr.
468,I.Virgenes Brit
469,Barbados
472,Trinidad Tobago
473,Granada
474,Aruba
480,Colombia
484,Venezuela
492,Surinam
500,Ecuador
504,Perú
508,Brasil
512,Chile
516,Bolivia
520,Paraguay
524,Uruguay
528,Argentina
529,Falkland Island
531,Curasao
600,Chipre
604,Líbano
608,Siria
612,Iraq
616,Irán
624,Israel
626,Timor-Leste
628,Jordania
632,Arabia Saudí
636,Kuwait
638,Reunión
640,Bahrain
644,Qatar
647,Emiratos Árabes
649,Oman (Sultanato)
653,Yemen
660,Afghanistán
662,Pakistán
664,India
666,Bangladesh
667,Maldivas
669,Srilanka (Ceylan)
672,Nepal
675,Bután
676,Myanmar
680,Thailandia
684,Rep. de Laos
690,Vietnam
696,Camboya
700,Indonesia
701,Malasia
703,Brunei Darussal
706,Singapur
708,Filipinas
716,Mongolia
720,China
724,Corea del Norte
728,Corea del Sur
732,Japón
736,Taiwan
740,Hong kong
743,Macao
795,Turkmenistán
800,Australia
801,Papua N.Guinea
803,Nauru
804,Nueva Zelanda
806,Islas Salomón
807,Tuvalu
812,Kiribati
815,Islas Fiyi
816,Vanuatu
817,Tonga
823,Micronesia
824,Islas Marshall
825,Palau
830,Samoa Americana
837,Islas Cook
882,Samoa
-11,(PL) Zalando
-12,(FI) Zalando
-8,(DK) Zalando
-7,(NL) Zalando
-6,(SE) Zalando
-5,(BE) Zalando
-4,SSG
-3,(DE) Zalando
-2,AUX
-1,TMALL
1,Francia
2,Bélgica
3,Holanda
4,Alemania
5,Italia
6,Gran Bretaña
7,Irlanda
8,Dinamarca
9,Grecia
10,Portugal
11,España
18,Luxemburgo
24,Islandia
28,Noruega
30,Suecia
32,Finlandia
37,Liechtenstein
38,Austria
39,Suiza
41,Islas Feroe
43,Andorra
44,Gibraltar
45,Ciudad Vaticano
46,Malta
47,San Marino
52,Turquía
53,Estonia
54,Letonia
55,Lituania
60,Polonia
61,Rep. Checa
63,Eslovaquia
64,Hungría
66,Rumanía
68,Bulgaria
70,Albania
72,Ucrania
73,Bielorusia
74,Moldavia
75,Rusia
76,Georgia
77,Armenia
78,Azerbaiyán
79,Kazajistán
81,Uzbekistán
82,Tajikistán
83,Kirguizistán
91,Eslovenia
92,Croacia
93,Bosnia-Herzegov
94,Serbia/Montene.
95,Kosovo
96,Macedonia
97,Montenegro
98,Serbia
101,Mónaco
103,Jersey
104,Isla de Man
180,Rep.Dem.Congo
204,Marruecos
208,Argelia
212,Túnez
216,Libia
220,Egipto
224,Sudán
228,Mauritania
232,Mali
236,Burkina Faso
240,Níger
244,Tchad
247,Cabo Verde
248,Senegal
252,Gambia
257,Guinea-Bissau
260,Guinea
264,Sierra Leona
268,Liberia
272,Costa de Marfil
276,Ghana
280,Togo
284,Benín
288,Nigeria
302,Camerún
306,R.Centroafrican
310,Guinea Ecuator.
311,S.Tomé/Principe
318,Congo
322,Zaire
324,Ruanda
328,Burundi
330,Angola
334,Etiopía
336,Eritrea
338,Djibouti
342,Somalia
346,Kenya
350,Uganda
352,Tanzania
355,Seychelles
366,Mozambique
370,Madagascar
373,Mauritius Isl.
375,Comoras
378,Zambia
382,Zimbabwe
386,Malawi
388,Sudáfrica
389,Namibia
391,Botsuana
393,Swazilandia
395,Lesotho
400,U.S.A.
401,Puerto Rico
404,Canadá
406,Groenlandia
412,México
413,Bermudas I.
416,Guatemala
421,Belice
424,Honduras
314,Gabón
